"","logFC","logCPM","F","PValue"
"transcript:SPU_002662-tr",-0.105402240167137,5.93819591629774,2.30570346803749,0.130723520385326
"transcript:SPU_002663-tr",-0.21883021205322,0.700547752532383,0.443223226071999,0.506456678994811
"transcript:SPU_018510-tr",-0.051983767646285,6.83789006902676,0.706484738443711,0.401772344658499
"transcript:SPU_013588-tr",-0.910309718561089,2.30792396301702,22.8038449504406,3.80381577162776e-06
"transcript:SPU_025027-tr",0.0602684281753532,4.20511857519045,0.323700412413289,0.570129453656732
"transcript:SPU_003157-tr",0.417062187602706,3.50596045846576,11.0164494400923,0.00110095995768723
"transcript:SPU_002013-tr",-0.241608989496387,3.38201979180039,3.05829417364816,0.0827772191007316
"transcript:SPU_007386-tr",-0.0983909975396688,4.59742221521522,1.09079880682427,0.297750064587574
"transcript:SPU_007387-tr",0.237211060973729,5.9445551067693,11.1021659865151,0.00105417038030453
"transcript:SPU_025032-tr",-0.0607295997697186,3.37826628734148,0.205654212971607,0.650762901706559
"transcript:SPU_002012-tr",0.309337451968624,6.98773490944989,23.1092675078998,3.30611502151452e-06
"transcript:SPU_002011-tr",0.0848865681998078,7.50970795421096,1.99798092323859,0.159304019385101
"transcript:SPU_009911-tr",-0.0802835737373574,6.40024350360156,1.34948638917767,0.247052145290397
"transcript:SPU_026943-tr",-0.409409581112751,2.71323921430574,6.725886761043,0.0103154704508582
"transcript:SPU_026944-tr",0.108658325096644,10.7793271936933,3.17324505405526,0.076606398393831
"transcript:SPU_021893-tr",-0.130195327059578,1.06837868377569,0.19943139089874,0.655738176042772
"transcript:SPU_022833-tr",-0.217824783967392,3.44951050141406,2.75191741766686,0.099007868798451
"transcript:SPU_006127-tr",0.509058049355154,0.708992193105104,2.38212353374283,0.124556110369809
"transcript:SPU_020944-tr",0.36593486655743,1.79994631584187,2.68391179725125,0.103216857498596
"transcript:SPU_025536-tr",-0.932134741188611,1.43758707601628,13.0928284928673,0.000388791204259168
"transcript:SPU_027231-tr",-0.207771435335641,4.54556683280883,4.95525815270607,0.0273017073874085
"transcript:SPU_021212-tr",-0.0725027189323162,5.79299623017974,0.98976308397285,0.321188435782165
"transcript:SPU_021209-tr",0.241967696568592,3.14525591921176,0.52326333495176,0.486794321499641
"transcript:SPU_020397-tr",0.225731400559023,4.5523137138267,5.20288568725743,0.0238334124416729
"transcript:SPU_020396-tr",-0.123654357569229,0.130406107588728,0.0920972195040339,0.761892022520173
"transcript:SPU_020395-tr",0.851829440982825,0.537921273484533,5.84716809428323,0.0166387618507217
"transcript:SPU_020829-tr",-0.169130610572305,2.44197766870986,0.947392870543847,0.331741490453926
"transcript:SPU_000794-tr",-0.0408767107624173,5.66665117196427,0.294972708406912,0.587749796386995
"transcript:SPU_000793-tr",0.134778939165037,6.01950449353178,3.75531083998102,0.054266637021226
"transcript:SPU_000795-tr",0.354250003258287,7.89163889328817,31.913776522996,7.98542197035447e-08
"transcript:SPU_000796-tr",-0.164334519057169,7.0177824827733,7.27262000333525,0.00769302558275187
"transcript:SPU_000792-tr",-0.072009039230183,0.340855031065475,0.0382200390503855,0.845231168501273
"transcript:SPU_000799-tr",-0.446198858419367,3.96562045239578,16.2189150455171,8.4299737836342e-05
"transcript:SPU_020053-tr",0.0187209215673171,8.25548065604408,0.104298232450669,0.747120946486747
"transcript:SPU_020073-tr",0.099944008740857,7.46990538307458,2.74719620004976,0.0992356960308039
"transcript:SPU_020054-tr",-0.0303854639134888,6.81285389883742,0.241647397694749,0.623641314796049
